시군구명,행정동코드,행정동명,지번코드,건물관리번호,경도,위도
강동구,1174065000,성내2동,1174010800200620004,1174010800100620005004785,127.124132813668,37.538090395314896
종로구,1111053000,사직동,1111010600200350042,1111010600100350042000001,126.972615705273,37.5771730114202
종로구,1111061500,종로1.2.3.4가동,1111012400201460001,1111012400101460001014059,126.978966379844,37.5738942645562
강남구,1168053100,논현2동,1168053100202350011,1168010800102350011000001,127.035354656802,37.5080422802738
중구,1114055000,명동,1114010500202040000,1114010500100150000000001,126.984890874694,37.5669442676094
중구,1114055000,명동,1114010500200110000,1114010500100110000020661,126.98511227932501,37.5664776293738
송파구,1171068000,잠실3동,1171010100200400000,1171010100100400000026809,127.094467266876,37.510663766936496
서초구,1165053000,서초3동,1165010800214510095,1165010800114510095021659,127.013483063726,37.4811273444246
중랑구,1126059000,상봉2동,1126010200201300003,1126010200101300169000001,127.074728919101,37.5930740403772
서대문구,1141056500,충현동,1141010100201910000,1141010100101910000030832,126.964616455685,37.563740698234895
중랑구,1126058000,상봉1동,1126010200201000002,1126010200101000004017634,127.086458400452,37.596931775537
광진구,1121584000,자양3동,1121510500202270007,1121510500102270007022407,127.072944230258,37.5369968145663
서초구,1165061000,방배2동,1165010100204440007,1165010100104440007013247,126.982147054224,37.477338416297606
강남구,1168061000,대치2동,1168010600209940010,1168010600109940011014089,127.068507100293,37.4979912661689
광진구,1121585000,구의1동,1121510300202460015,1121510300102460015009288,127.08401043594,37.53700207580479
은평구,1138069000,진관동,1138011400201000006,1138011400101000006000001,126.91852318601102,37.6342747302578
용산구,1117053000,남영동,1117010400200690005,1117010400100690005023841,126.971925105405,37.5442249085445
송파구,1171065000,잠실본동,1171010100201810000,1171010100101810001000638,127.081200820667,37.5114533637489
은평구,1138058000,응암1동,1138010700200960001,1138010700100960001024839,126.92664807468,37.6010828997358
관악구,1162052500,보라매동,1162010100207290021,1162010100107290021039004,126.925522181434,37.491037581936
강남구,1168064000,역삼1동,1168064000208310025,1168010100108310025025228,127.03053663487499,37.4948924865489
송파구,1171064200,문정2동,1171010800206280000,1171010800104090003000001,127.119370608348,37.4782606521025
서대문구,1141058500,신촌동,1141011600205100002,1141011600105100002022166,126.927345295972,37.5588126454804
금천구,1154551000,가산동,1154510100203710037,1154510100103710037000001,126.88368419181002,37.477224052987296
강남구,1168064000,역삼1동,1168010100206770025,1168010100106770025026369,127.04065256742399,37.502390759891895
구로구,1153051000,신도림동,1153010100206920000,1153010100103600045000001,126.888484621418,37.508058038284105
강남구,1168053100,논현2동,1168010800202350011,1168010800102350011000001,127.035354656802,37.5080422802738
성북구,1129070500,종암동,1129013500200031297,1129013500100031297019887,127.034276237521,37.6013098726705
강남구,1168065500,도곡1동,1168011800209460014,1168011800109460014000399,127.032473020123,37.4885559134485
송파구,1171062000,가락본동,1171010700200970007,1171010700100970007000001,127.118768373869,37.4948807737535
중구,1114057000,필동,1114013800200100000,1114013800100100000018658,126.99390762123899,37.5614259780878
강남구,1168064000,역삼1동,1168010100206780039,1168010100106780039000001,127.03922281909901,37.5018745487421
송파구,1171061000,삼전동,1171010600201300002,1171010600101300002007621,127.09661166466199,37.506364117999794
강남구,1168064000,역삼1동,1168010100208090010,1168010100108090010022936,127.025555471117,37.5031321984073
마포구,1144074000,상암동,1144012700216030000,1144012700116030000000001,126.890965756325,37.5811104968407
성북구,1129068500,길음2동,1129013400200200001,1129013400100200001025204,127.028725560472,37.6083915431599
강남구,1168064000,역삼1동,1168010100206810000,1168010100106810000021362,127.04035282204599,37.509020089374204
마포구,1144066000,서교동,1144012100202050006,1144012100102050006027178,126.91999426097,37.5568354275046
서초구,1165051000,서초1동,1165010800214450004,1165010800114450004024431,127.0169304208,37.484670199789
노원구,1135058000,월계3동,1135010200203330001,1135010200103330001018859,127.061966366957,37.6265010290164
은평구,1138058000,응암1동,1138010700200900001,1138010700100890021000001,126.920491206786,37.600819505627605
동작구,1159053000,상도1동,1159010200205010009,1159010200105010009019427,126.95483994085899,37.4954003760894
용산구,1117069000,서빙고동,1117013200200100008,1117013200100100008003158,126.99178677323201,37.528970243763105
은평구,1138057000,대조동,1138010600202240015,1138010600102240015000001,126.91769325535299,37.611813488737795
강남구,1168064000,역삼1동,1168010100207470021,1168010100107470021024875,127.038880731616,37.4959157868406
강남구,1168065600,도곡2동,1168011800204670017,1168011800104670017026752,127.054163435442,37.4892992237675
서대문구,1141058500,신촌동,1141011600200180055,1141011600100180055022794,126.93710095594801,37.5564770804222
구로구,1153054000,구로3동,1153010200201970012,1153010200101970012022965,126.89152671903798,37.4859028941571
