,dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,miss
61,답십리2?0,960994.7368,1952093.737,0.43833105,-0.8890100679999999,-0.914482557,-0.748165335,-0.786583554,-0.7337273,-0.663315996,-0.6446981970000001,-0.659337555,10628.85868,3.097172778,0.431806655,0.568193345,1.0,,1
121,미아동,1.0,958084.6154,1958935.5380000002,-0.61753264,-0.25231960600000003,0.186719993,0.021843945,-0.2112509,0.07327184,0.746916878,0.840666693,0.9912913259999999,17657.581769999997,-0.273684832,0.685413107,0.31458689300000003,0.0,1
379,평창동,1.0,953467.3913,1956672.9130000002,7.118634817,-1.86639319,-1.582482476,-1.314479268,-1.509724931,-1.6438295790000002,-1.731793994,-1.825586475,-1.6412495740000002,4747.495565,0.21529759899999998,0.884949086,0.115050914,0.0,1
169,상계6.7?1,961263.4146,1961466.073,-0.6868072340000001,2.5178959919999997,3.1797022189999997,1.803179765,1.6192305830000002,2.4340368669999997,2.846780827,2.425146016,2.551672962,31903.355069999998,0.48579851799999996,0.272295295,0.727704705,1.0,,1
358,진관동,1.0,949363.4146,1960274.61,1.8832453830000002,-0.941452003,-0.8616053340000001,-1.106754936,-1.169789158,-1.139941197,-1.4404608780000001,-1.4425383809999999,-1.1344123609999999,7724.398679000001,-0.41933917299999995,0.73382347,0.26617653,0.0,1
288,용산2가?1,954297.6190000001,1948699.0,0.031188971,-2.282389254,-2.062639801,-1.51214046,-1.814548866,-2.147805778,-2.4444905130000003,-2.4969942019999998,-2.402342713,1482.156286,-1.189226405,0.703250417,0.296749583,0.0,,1
324,잠실4동,0.0,965415.5556,1946900.111,-0.37645109600000004,1.6780339780000002,0.438939355,0.286893436,0.795355085,0.734460397,0.8056309690000001,0.927011122,0.614038276,20744.60932,0.662664504,0.444786721,0.555213279,1.0,1
108,명일2동,1.0,969279.5918,1950168.388,0.008729274,0.151411787,1.884671286,-0.201179523,-0.248419716,0.32683544,0.588198651,0.790337518,0.397736824,18224.58912,-0.128030491,0.7304251629999999,0.269574837,0.0,1
264,양재1동,1.0,958196.9697,1941075.894,2.268938543,-1.36520584,-1.517260913,-0.900972091,-0.796949455,-1.139419706,-1.5292606000000002,-1.516134255,-1.57099778,7385.866923999999,0.7667033190000001,0.583126468,0.41687353200000005,0.0,1
139,번1동,1.0,958518.0,1959879.0,-0.027267657999999997,-0.233122036,0.005009303,0.268247272,-0.09122888900000001,0.088716789,0.420942637,0.579378605,0.7148713859999999,17402.372919999998,-0.7106478559999999,0.629708913,0.370291087,0.0,1
62,당산1동,0.0,946609.8485,1947242.1819999998,-0.66980019,0.285445525,-0.588678158,-0.085869197,0.25889522,0.261343573,0.344994559,0.253781194,0.142976503,16592.76597,0.308932533,0.43956262,0.56043738,1.0,1
283,왕십리2?0,957950.0,1951074.0,-0.09627875,0.23741464399999998,-0.130282406,-0.632110235,-0.35767294,-0.30591172,-0.26517640000000003,-0.2897421,-0.32480546600000004,13575.4595,-0.637820685,0.667770505,0.332229495,0.0,,1
310,이태원1?1,955116.0,1948343.0,-0.633809419,-1.33803928,-0.928378699,1.22595595,0.140393721,-0.694509901,-0.8429475959999999,-0.939722785,-0.635957022,14067.656519999999,0.48579851799999996,0.176372415,0.823627585,1.0,,1
293,원효로2?0,951897.3684,1948327.947,0.764745151,-0.307425413,-0.351445816,-0.20514753,0.006382611999999999,-0.025872737000000003,-0.425566729,-0.592092986,-0.334941046,14146.54416,-1.386900154,0.552300054,0.447699946,0.0,,1
167,상계3.4?0,962755.0,1963154.0,-0.743308537,-0.149279617,0.130194584,-0.486040707,-0.572267592,-0.18705292399999998,0.140984272,0.42447431799999996,0.634083113,15202.2043,0.48579851799999996,0.682247057,0.317752943,0.0,,1
3,가리봉동,0.0,946320.0,1942379.0,1.005156428,-1.014897371,-1.095017027,0.321374056,0.591232939,0.104859651,-0.259925911,-0.725253632,-0.8595840779999999,14553.9922,-0.6482245670000001,0.308842157,0.6911578429999999,1.0,1
400,화곡4동,1.0,943666.6667,1948090.667,0.057253934000000006,0.017522251000000003,-0.11324148699999999,-0.372116489,-0.29696046600000003,-0.293092363,-0.24099402600000003,-0.18468984300000002,-0.303265668,14056.524330000002,-0.28408871399999996,0.622582228,0.37741777200000004,0.0,1
113,목5동,1.0,945150.4425,1948683.956,0.8962657079999999,-0.548447965,0.571069687,-0.693071332,-0.7329486140000001,-0.094515112,-0.497886249,-0.722903581,-0.691083239,12570.2985,-0.492166344,0.609809895,0.390190105,0.0,1
19,거여2동,0.0,968575.0,1943706.5,-0.683920298,0.777078057,0.786550801,-0.39674628700000003,0.056769478,0.369811999,0.494213564,0.607027219,0.486936387,17771.8452,2.8266718589999997,0.43842814799999996,0.561571852,1.0,1
43,금호4가?1,957692.0,1949873.0,0.011748673999999999,1.578594674,-0.08133444599999999,-0.217111527,0.241297597,0.298271528,0.350606136,0.58464026,0.9107165309999999,18167.892480000002,-0.481762462,0.659198779,0.340801221,0.0,,1
131,방이1동,1.0,966625.9259,1945513.815,-0.097467557,0.39383756799999997,0.211733025,-0.6470811679999999,-0.7507871690000001,-0.5602078229999999,-0.42858550799999995,-0.414044213,-0.630382679,12686.18567,1.557398314,0.557746141,0.44225385899999997,0.0,1
174,상도3동,1.0,949866.6667,1944804.5559999999,-0.532735176,0.451688415,-0.075130897,-0.007549389,-0.031104054,-0.032290586,0.089334612,0.37315161399999996,0.457473936,16613.303330000002,0.600241215,0.5365228129999999,0.463477187,0.0,1
402,화곡8동,0.0,942325.0,1948149.0,-0.794172955,3.1364680330000003,1.3495556469999999,1.457343794,2.529106001,1.970900594,2.304051885,2.504244163,1.882260227,30240.873,-0.28408871399999996,0.380947314,0.619052686,1.0,1
279,오류1동,1.0,941851.9231,1944216.3080000002,-0.510637476,0.80108554,0.024825606,-0.12785963,-0.024448551000000002,0.014436396,0.353620738,0.757602537,0.959982205,17586.15608,-1.3348807459999998,0.762218183,0.237781817,0.0,1
311,이태원2?0,954812.5,1948792.75,-0.725012144,-1.4650628330000002,-1.369045307,-0.6986576999999999,-0.960721237,-1.315528337,-1.541788395,-1.498107412,-1.277362099,7591.45625,0.48579851799999996,0.47299534200000004,0.527004658,1.0,,1
