dong,starbucks,X,Y,subway,pop0,pop10,pop20,pop30,pop40,pop50,pop60,pop70,poptotal,landprice,0,1,INTO,FN,FT
개봉3동,0,943100,1943249,0.982623682,0.239141439,-0.440293425,-0.760438584,-0.683699586,-0.538980513,-0.372356018,-0.352573795,-0.420310184,12371.22133,-0.752263382,0.759824491,0.240175509,0,FALSE,FALSE
개포1동,0,960846.3415,1942335.585,1.230009148,-1.843013893,-1.552997175,-1.159482394,-1.266938228,-1.413113168,-1.33273536,-1.345883376,-1.571354336,6226.682024,1.141243054,0.647425787,0.352574213,0,FALSE,FALSE
개포2동,0,961912.2449,1942994.918,0.04133112,-1.455710074,-0.685718916,-0.890521493,-0.957063327,-0.838640844,-0.726864807,-0.736043001,-1.136559174,9533.0065,0.501404341,0.626338077,0.373661923,0,FALSE,FALSE
개포4동,1,960328.2609,1941864.217,1.870391363,-1.277759729,-1.117806346,-0.92825369,-0.872711082,-1.022681369,-1.218328812,-1.219181887,-1.536361107,8157.975652,1.141243054,0.593589381,0.406410619,0,TRUE,FALSE
거여1동,0,968400,1943962.889,-0.627966679,0.182178749,0.514206235,-0.479424915,-0.349639218,-0.008692863,0.246889061,0.350940929,0.249787369,15792.86817,2.826671859,0.474060031,0.525939969,1,FALSE,TRUE
거여2동,0,968575,1943706.5,-0.683920298,0.777078057,0.786550801,-0.396746287,0.056769478,0.369811999,0.494213564,0.607027219,0.486936387,17771.8452,2.826671859,0.438428148,0.561571852,1,FALSE,TRUE
고덕1동,0,969145.7317,1950977.659,-0.050071757,0.213539865,0.135062353,-0.810002797,-0.723358818,-0.547169217,-0.657397006,-0.662089865,-0.842408581,11842.50571,-1.470131206,0.729840543,0.270159457,0,FALSE,FALSE
고덕2동,0,970229.8701,1951083.416,-0.253410492,-1.480860593,-0.87424608,-1.118884758,-1.332048743,-1.326252157,-1.390148729,-1.422573149,-1.441480472,6901.333909,-1.470131206,0.738333383,0.261666618,0,FALSE,FALSE
고척1동,0,943667.1053,1944514.789,-0.148089461,0.339919211,0.541050649,-0.224825341,-0.331660257,-0.174429005,-0.259180189,-0.283313145,-0.826858605,14436.27842,-0.752263382,0.584830504,0.415169496,0,FALSE,FALSE
고척2동,0,943450,1945374,1.257393611,0.470295956,0.175339907,-0.56065769,-0.401790153,-0.130626796,-0.106734858,-0.018669162,-0.511917642,14279.26525,-0.752263382,0.738444495,0.261555505,0,FALSE,FALSE
공덕동,1,951931.25,1949910.719,-0.619279442,1.408061329,0.383065593,0.315393357,0.883676339,0.919583124,0.877013667,0.763383748,0.790239748,20981.77427,-1.176221553,0.489292118,0.510707882,1,FALSE,FALSE
공릉1동,1,962356.875,1958290.875,-0.643053981,0.863628686,0.59898906,0.317641521,0.310622177,0.496757281,0.953927199,1.108577821,0.642558689,19985.81743,-0.53378187,0.61285208,0.38714792,0,TRUE,FALSE
공릉2동,0,963958.6957,1958842.913,1.97417928,-1.341871263,-0.844409512,-0.883155778,-1.337178548,-1.381986028,-1.61606386,-1.746793898,-1.725393069,6636.46993,-0.53378187,0.690367558,0.309632442,0,FALSE,FALSE
공항동,0,939391.1565,1951273.83,-0.053628765,-0.726931039,-1.39242896,-0.993568805,-1.141568883,-1.377735144,-1.512622243,-1.642907235,-1.690766794,6818.002381,-1.371294332,0.665911201,0.334088799,0,FALSE,FALSE
광장동,1,964911.3861,1949598.01,-0.078522562,0.221540899,0.878680175,-0.374298358,-0.312425023,0.665645337,0.232496021,-0.201656558,0.049251913,16331.84889,-2.676981462,0.623941288,0.376058712,0,TRUE,FALSE
광희동,1,956038.4615,1951800.099,-0.845132743,-1.214495636,-0.701055616,0.272155553,0.425646232,0.499502948,0.603089346,0.117394702,0.112731541,16861.80018,0.820803503,0.258320723,0.741679277,1,FALSE,FALSE
교남동,1,952650,1952352.448,-0.41857442,-0.46199127,-0.65027401,-0.577774101,-0.552581605,-0.413626244,-0.6298432,-0.814330363,-0.311150291,11999.13038,0.933165424,0.428623938,0.571376062,1,FALSE,FALSE
구로1동,0,944525,1944199,-0.871212619,2.706699278,1.551671165,0.175865466,0.987853481,1.022704099,1.111713964,0.874521391,0.355715477,22304.408,-0.648224567,0.50579805,0.49420195,0,FALSE,FALSE
구로2동,0,945187.2093,1944483.884,0.261798854,-1.071994348,-0.841070114,-0.450145573,-0.406473415,-0.36787125,-0.323660429,-0.53107032,-0.919208945,11982.05644,-0.648224567,0.569897379,0.430102621,0,FALSE,FALSE
구로3동,1,946617.7778,1942981.222,-0.447688244,-0.231250814,-0.442293551,1.842775715,2.671120417,1.684843719,1.072895865,0.760417043,0.330192263,24562.29384,-0.648224567,0.090772418,0.909227582,1,FALSE,FALSE
구로4동,0,946182.6923,1943927.846,-0.424166041,0.64945501,-0.104711173,0.21243217,0.631498553,0.355904948,0.276246533,0.423879298,0.333963361,18255.90619,-0.648224567,0.503594511,0.496405489,0,FALSE,FALSE
구로5동,1,946044.3396,1944890.509,-0.011212206,1.734034582,0.503970605,1.340688349,1.753795238,1.223298737,1.313776995,1.147385402,0.783789605,24636.68948,-0.648224567,0.305638193,0.694361807,1,FALSE,FALSE
구산동,0,948313.6364,1956753.545,-0.348552287,1.26914027,1.189843973,-0.371883869,-0.241152148,0.042800621,0.019190067,0.026522706,0.260680391,16663.03173,-0.263280951,0.645085514,0.354914486,0,FALSE,FALSE
구의1동,1,963200,1948749,-0.920030847,1.118604429,1.031847839,1.228858876,1.158097363,1.235831185,1.584987518,1.423160014,1.793486821,25023.58567,0.797914964,0.292230185,0.707769816,1,FALSE,FALSE
