X.1,id,X,Y,구,동,예측,대여,반납
8554,145386,946500,1946049,영등포구,문래동,59.88730225,28.20367379,31.68362845
8555,145387,946500,1945999,영등포구,문래동,64.59475325,32.26175235,32.33300091
8556,145388,946500,1945949,영등포구,문래동,60.47421867,28.75658591,31.71763276
8557,145389,946500,1945899,영등포구,문래동,64.90836959,31.19354376,33.71482583
8558,146015,946550,1946249,영등포구,문래동,87.71341906,39.85017974,47.86323931
8559,146018,946550,1946099,영등포구,문래동,60.67798909,30.31025831,30.36773078
8560,146649,946600,1946199,영등포구,문래동,84.5877556,39.26535175,45.32240385
8561,147282,946650,1946199,영등포구,문래동,84.00273398,41.03076342,42.97197056
8562,147283,946650,1946149,영등포구,문래동,84.77515799,41.94894412,42.82621388
8563,147916,946700,1946149,영등포구,문래동,81.50322283,39.4412774,42.06194543
8564,148550,946750,1946099,영등포구,문래동,64.60063291,32.37356774,32.22706517
8565,148551,946750,1946049,영등포구,문래동,58.55781711,28.65745849,29.90035862
8566,140954,946150,1946099,영등포구,문래동,66.30081776,34.1788666,32.12195116
8567,141586,946200,1946149,영등포구,문래동,64.17887925,31.64786747,32.53101178
8568,141588,946200,1946049,영등포구,문래동,68.95450974,34.71487915,34.23963059
8569,141589,946200,1945999,영등포구,문래동,75.31638453,37.96083447,37.35555006
8570,142219,946250,1946149,영등포구,문래동,61.93719967,30.48226619,31.45493348
8571,185868,949700,1947549,영등포구,여의동,126.0628922,60.2015593,65.86133285
8572,186497,949750,1947749,영등포구,여의동,150.826493,60.69012058,90.13637243
8573,186500,949750,1947599,영등포구,여의동,137.0760923,65.70213348,71.37395878
8574,187130,949800,1947749,영등포구,여의동,126.4925141,55.04200242,71.45051168
8575,189052,949950,1946599,영등포구,여의동,79.06357833,37.95926535,41.10431298
8576,189685,950000,1946599,영등포구,여의동,80.56988152,38.93595101,41.63393051
8577,171969,948600,1946199,영등포구,신길1동,95.21037881,45.84903649,49.36134232
8578,171337,948550,1946149,영등포구,영등포본동,80.04213737,40.9270259,39.11511147
8579,137227,945850,1942549,구로구,가리봉동,70.78317011,31.01769506,39.76547505
8580,132161,945450,1942649,금천구,가산동,89.09352549,44.35159744,44.74192804
8581,132796,945500,1942549,금천구,가산동,104.4888461,51.6696092,52.8192369
8582,134061,945600,1942599,금천구,가산동,75.78221178,36.77654713,39.00566466
8583,134693,945650,1942649,금천구,가산동,79.03435633,35.65639302,43.37796331
8584,134694,945650,1942599,금천구,가산동,74.72811857,33.6623124,41.06580617
8585,135327,945700,1942599,금천구,가산동,65.44678072,30.39138262,35.0553981
8586,135328,945700,1942549,금천구,가산동,75.17582777,32.67369048,42.50213729
8587,137240,945850,1941899,금천구,가산동,53.42259437,24.66368539,28.75890898
8588,138505,945950,1941949,금천구,가산동,61.6271588,30.77394505,30.85321375
8589,146094,946550,1942299,구로구,가리봉동,52.94669841,25.53190774,27.41479066
8590,149265,946800,1941999,금천구,독산3동,44.57869561,21.90743164,22.67126398
8591,149266,946800,1941949,금천구,독산3동,39.86780031,21.33264297,18.53515734
8592,149267,946800,1941899,금천구,독산3동,41.09763284,21.53170265,19.56593019
8593,148641,946750,1941549,금천구,독산3동,52.08111067,28.74919765,23.33191301
8594,149268,946800,1941849,금천구,독산3동,44.90701869,22.3264675,22.58055119
8595,149269,946800,1941799,금천구,독산3동,39.58245858,19.94749097,19.6349676
8596,149270,946800,1941749,금천구,독산3동,40.83611774,19.68212221,21.15399553
8597,149273,946800,1941599,금천구,독산3동,49.51602867,26.05454184,23.46148683
8598,149274,946800,1941549,금천구,독산3동,59.78217632,28.35441528,31.42776104
8599,147360,946650,1942299,금천구,독산1동,61.72152479,25.99064194,35.73088285
8600,149262,946800,1942149,금천구,독산1동,61.56557557,30.26620209,31.29937348
8601,149263,946800,1942099,금천구,독산1동,57.24808736,28.75016543,28.49792193
8602,149264,946800,1942049,금천구,독산1동,53.29700792,25.6729229,27.62408502
8603,148019,946700,1940999,금천구,독산1동,57.1711908,30.23718588,26.93400492
8604,148647,946750,1941249,금천구,독산4동,57.96375331,26.92122621,31.0425271
8605,148648,946750,1941199,금천구,독산4동,63.334802,29.9890956,33.34570641
8606,148649,946750,1941149,금천구,독산4동,67.07100944,31.73228902,35.33872043
8607,149275,946800,1941499,금천구,독산3동,59.21874621,30.23939483,28.97935137
8608,148642,946750,1941499,금천구,독산4동,62.49704026,31.26563251,31.23140775
8609,148643,946750,1941449,금천구,독산4동,64.39913874,30.07417999,34.32495875
